COG_letter	COG_description	COG_category	COG_number	annotation	cluster
K	DNA-binding transcriptional regulator, CsgD family	Transcription	COG2771	K:[Transcription]	8
G	UDP:flavonoid glycosyltransferase YjiC, YdhE family	Carbohydrate transport and metabolism	COG1819	G:[Carbohydrate transport and metabolism]	8
J	Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis)	Translation, ribosomal structure and biogenesis	COG0425	J:[Translation, ribosomal structure and biogenesis]	8
R	Predicted metal-dependent hydrolase, TIM-barrel fold	General function prediction only	COG3618	R:[General function prediction only]	8
G	Pullulanase/glycogen debranching enzyme	Carbohydrate transport and metabolism	COG1523	G:[Carbohydrate transport and metabolism]	8
J	HrpA-like RNA helicase	Translation, ribosomal structure and biogenesis	COG1643	J:[Translation, ribosomal structure and biogenesis]	8
R	Predicted CoA-binding protein	General function prediction only	COG1832	R:[General function prediction only]	8
J	HD superfamily phosphodiesterase, includes HD domain of RNase Y	Translation, ribosomal structure and biogenesis	COG1418	J:[Translation, ribosomal structure and biogenesis]	8
C	Acetate kinase	Energy production and conversion	COG0282	C:[Energy production and conversion]	8
G	Glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase)	Carbohydrate transport and metabolism	COG0448	G:[Carbohydrate transport and metabolism]	8
J	O-acetyl-ADP-ribose deacetylase (regulator of RNase III), contains Macro domain	Translation, ribosomal structure and biogenesis	COG2110	J:[Translation, ribosomal structure and biogenesis]	8
J	23S rRNA accumulation RNA-binding protein YceD (essential in plants)	Translation, ribosomal structure and biogenesis	COG1399	J:[Translation, ribosomal structure and biogenesis]	8
G	Ribose 5-phosphate isomerase RpiB	Carbohydrate transport and metabolism	COG0698	G:[Carbohydrate transport and metabolism]	8
J	Predicted rRNA methylase YqxC, contains S4 and FtsJ domains	Translation, ribosomal structure and biogenesis	COG1189	J:[Translation, ribosomal structure and biogenesis]	8
C	Cytochrome c biogenesis protein CcmE	Energy production and conversion	COG2332	C:[Energy production and conversion]	8
L	Recombinational DNA repair ATPase RecF	Replication, recombination and repair	COG1195	L:[Replication, recombination and repair]	8
K	RNA polymerase-interacting regulator, CarD/CdnL/TRCF family	Transcription	COG1329	K:[Transcription]	8
O	Membrane-associated protease RseP, regulator of RpoE activity	Posttranslational modification, protein turnover, chaperones	COG0750	O:[Posttranslational modification, protein turnover, chaperones]	8
O	GTPase of the G3E family (not a periplasmic protein kinase)	Posttranslational modification, protein turnover, chaperones	COG1703	O:[Posttranslational modification, protein turnover, chaperones]	8
V	HNH family endonuclease, includes 5-methylcytosine-specific restriction endonuclease McrA	Defense mechanisms	COG1403	V:[Defense mechanisms]	8
E	Kynurenine formamidase	Amino acid transport and metabolism	COG1878	E:[Amino acid transport and metabolism]	8
F	Cytidine deaminase	Nucleotide transport and metabolism	COG0295	F:[Nucleotide transport and metabolism]	8
R	Uncharacterized protein, contains predicted SAM-dependent methyltransferase domain	General function prediction only	COG4301	R:[General function prediction only]	8
O	ABC-type transport system involved in cytochrome c biogenesis, permease component	Posttranslational modification, protein turnover, chaperones	COG2386	O:[Posttranslational modification, protein turnover, chaperones]	8
F	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	Nucleotide transport and metabolism	COG0047	F:[Nucleotide transport and metabolism]	8
A	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs	RNA processing and modification	COG0618	A:[RNA processing and modification]	8
C	Cytochrome c biogenesis protein CcmF	Energy production and conversion	COG1138	C:[Energy production and conversion]	8
J	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily	Translation, ribosomal structure and biogenesis	COG0780	J:[Translation, ribosomal structure and biogenesis]	8
P	Arsenite efflux pump ArsB, ACR3 family	Inorganic ion transport and metabolism	COG0798	P:[Inorganic ion transport and metabolism]	8
K	Mn-dependent transcriptional regulator MntR, DtxR family	Transcription	COG1321	K:[Transcription]	8
E	5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit	Amino acid transport and metabolism	COG0182	E:[Amino acid transport and metabolism]	8
P	Membrane protein YqaA involved in indium extrusion, DedA family, contains VTT domain	Inorganic ion transport and metabolism	COG1238	P:[Inorganic ion transport and metabolism]	8
E	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain	Amino acid transport and metabolism	COG0403	E:[Amino acid transport and metabolism]	8
G	Di- and tricarboxylate antiporter	Carbohydrate transport and metabolism	COG0471	G:[Carbohydrate transport and metabolism]	8
P	Divalent cation tolerance protein CutA	Inorganic ion transport and metabolism	COG1324	P:[Inorganic ion transport and metabolism]	8
G	Phosphotransferase system, mannose/fructose-specific component IIA	Carbohydrate transport and metabolism	COG2893	G:[Carbohydrate transport and metabolism]	8
K	Fic family protein	Transcription	COG3177	K:[Transcription]	8
Q	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component	Secondary metabolites biosynthesis, transport and catabolism	COG4663	Q:[Secondary metabolites biosynthesis, transport and catabolism]	8
V	Type I restriction-modification system, DNA methylase subunit	Defense mechanisms	COG0286	V:[Defense mechanisms]	8
J	mRNA degradation ribonuclease J1/J2	Translation, ribosomal structure and biogenesis	COG0595	J:[Translation, ribosomal structure and biogenesis]	8
E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	Amino acid transport and metabolism	COG2876	E:[Amino acid transport and metabolism]	8
T	2',3'- and 3',5'-cNMP phosphodiesterase YmdB, calcineurin family	Signal transduction mechanisms	COG1692	T:[Signal transduction mechanisms]	8
P	Fe2+ transport protein FeoA	Inorganic ion transport and metabolism	COG1918	P:[Inorganic ion transport and metabolism]	8
R	Acid resistance membrane protein HdeD, DUF308 family	General function prediction only	COG3247	R:[General function prediction only]	8
J	L-lysine 2,3-aminomutase EpmB	Translation, ribosomal structure and biogenesis	COG1509	J:[Translation, ribosomal structure and biogenesis]	8
P	Fe2+ transporter FeoB	Inorganic ion transport and metabolism	COG0370	P:[Inorganic ion transport and metabolism]	8
T	Signal transduction histidine kinase NtrY involved in nitrogen fixation and metabolism regulation	Signal transduction mechanisms	COG5000	T:[Signal transduction mechanisms]	8
L	DNA modification adenine methylase	Replication, recombination and repair	COG0863	L:[Replication, recombination and repair]	8
F	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS subunit	Nucleotide transport and metabolism	COG1828	F:[Nucleotide transport and metabolism]	8
E	Methionine synthase I (cobalamin-dependent), methyltransferase domain	Amino acid transport and metabolism	COG0646	E:[Amino acid transport and metabolism]	8
E	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit	Amino acid transport and metabolism	COG0145	E:[Amino acid transport and metabolism]	8
J	tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain	Translation, ribosomal structure and biogenesis	COG0219	J:[Translation, ribosomal structure and biogenesis]	8
P	Zinc transporter ZupT	Inorganic ion transport and metabolism	COG0428	P:[Inorganic ion transport and metabolism]	8
H	Cobalamin biosynthesis protein CobD/CbiB	Coenzyme transport and metabolism	COG1270	H:[Coenzyme transport and metabolism]	8
J	Ribosome biogenesis GTPase RsgA	Translation, ribosomal structure and biogenesis	COG1162	J:[Translation, ribosomal structure and biogenesis]	8
K	DNA-binding transcriptional regulator, FrmR family	Transcription	COG1937	K:[Transcription]	8
D	MinD-like ATPase FlhG/YlxH, activator of the FlhF-type GTPase	Cell cycle control, cell division, chromosome partitioning	COG0455	D:[Cell cycle control, cell division, chromosome partitioning]	8
T	Signal transduction histidine kinase NtrB, nitrogen specific	Signal transduction mechanisms	COG3852	T:[Signal transduction mechanisms]	8
L	3-methyladenine DNA glycosylase Tag	Replication, recombination and repair	COG2818	L:[Replication, recombination and repair]	8
G	Na+/melibiose symporter or related transporter	Carbohydrate transport and metabolism	COG2211	G:[Carbohydrate transport and metabolism]	8
O	ABC-type transport system involved in multi-copper enzyme maturation, permease component	Posttranslational modification, protein turnover, chaperones	COG1277	O:[Posttranslational modification, protein turnover, chaperones]	8
H	Nicotinamide mononucleotide (NMN) deamidase PncC	Coenzyme transport and metabolism	COG1546	H:[Coenzyme transport and metabolism]	8
R	UTP pyrophosphatase, metal-dependent hydrolase family	General function prediction only	COG1451	R:[General function prediction only]	8
L	DNA repair exonuclease SbcCD nuclease subunit	Replication, recombination and repair	COG0420	L:[Replication, recombination and repair]	8
T	CBS domain	Signal transduction mechanisms	COG0517	T:[Signal transduction mechanisms]	8
A	5'-3' exoribonuclease/diribonuclease TrpH/YciV (RNase AM), contains PHP domain	RNA processing and modification	COG0613	A:[RNA processing and modification]	8
P	ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA	Inorganic ion transport and metabolism	COG0803	P:[Inorganic ion transport and metabolism]	8
E	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	Amino acid transport and metabolism	COG0076	E:[Amino acid transport and metabolism]	8
L	Endonuclease YncB, thermonuclease family	Replication, recombination and repair	COG1525	L:[Replication, recombination and repair]	8
G	Trehalose-6-phosphate synthase, GT20 family	Carbohydrate transport and metabolism	COG0380	G:[Carbohydrate transport and metabolism]	8
O	Zn-dependent amino- or carboxypeptidase, M28 family	Posttranslational modification, protein turnover, chaperones	COG2234	O:[Posttranslational modification, protein turnover, chaperones]	8
M	UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family	Cell wall/membrane/envelope biogenesis	COG1922	M:[Cell wall/membrane/envelope biogenesis]	8
Q	N-acyl-D-aspartate/D-glutamate deacylase	Secondary metabolites biosynthesis, transport and catabolism	COG3653	Q:[Secondary metabolites biosynthesis, transport and catabolism]	8
P	Iron homeostasis protein YciF (ferroxidase)	Inorganic ion transport and metabolism	COG3685	P:[Inorganic ion transport and metabolism]	8
R	Uncharacterized ProP-interacting protein YjbJ, UPF0337 family	General function prediction only	COG3237	R:[General function prediction only]	8
H	Protoporphyrinogen oxidase HemY/PPOX	Coenzyme transport and metabolism	COG1232	H:[Coenzyme transport and metabolism]	8
K	Transcriptional regulator, CopY/TcrY family	Transcription	COG3682	K:[Transcription]	8
C	Acetamidase/formamidase	Energy production and conversion	COG2421	C:[Energy production and conversion]	8
P	Catalase (peroxidase I)	Inorganic ion transport and metabolism	COG0376	P:[Inorganic ion transport and metabolism]	8
M	Surface protein containing fasciclin (FAS1) repeats	Cell wall/membrane/envelope biogenesis	COG2335	M:[Cell wall/membrane/envelope biogenesis]	8
E	Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily	Amino acid transport and metabolism	COG1446	E:[Amino acid transport and metabolism]	8
E	L-asparagine transporter or related permease	Amino acid transport and metabolism	COG1113	E:[Amino acid transport and metabolism]	9
F	Purine-cytosine permease or related protein	Nucleotide transport and metabolism	COG1457	F:[Nucleotide transport and metabolism]	9
E	ABC-type proline/glycine betaine transport system, periplasmic component	Amino acid transport and metabolism	COG2113	E:[Amino acid transport and metabolism]	9
U	Type VI secretion system spike component VgrG, 	Intracellular trafficking, secretion, and vesicular transport	COG3501	U:[Intracellular trafficking, secretion, and vesicular transport]	9
U	Type VI secretion system tube protein TssD/Hcp	Intracellular trafficking, secretion, and vesicular transport	COG3157	U:[Intracellular trafficking, secretion, and vesicular transport]	9
R	Uncharacterized conserved protein RhsA, contains RHS repeats	General function prediction only	COG3209	R:[General function prediction only]	9
R	Aromatic carboxylic acid efflux pump AaeB or related transporter, AaeB/MdtO/YccS family	General function prediction only	COG1289	R:[General function prediction only]	9
E	ABC-type proline/glycine betaine transport system, permease component	Amino acid transport and metabolism	COG4176	E:[Amino acid transport and metabolism]	9
M	Phosphoglycerol transferase MdoB/OpgB, AlkP superfamily	Cell wall/membrane/envelope biogenesis	COG1368	M:[Cell wall/membrane/envelope biogenesis]	9
K	RocR-type transcriptional regulator, contains PAS, AAA-type ATPase, and DNA-binding Fis domains	Transcription	COG3829	K:[Transcription]	9
E	ABC-type proline/glycine betaine transport system, ATPase component	Amino acid transport and metabolism	COG4175	E:[Amino acid transport and metabolism]	9
F	Xanthine/uracil permease	Nucleotide transport and metabolism	COG2233	F:[Nucleotide transport and metabolism]	9
P	ABC-type metal ion transport system, periplasmic component/surface antigen	Inorganic ion transport and metabolism	COG1464	P:[Inorganic ion transport and metabolism]	9
C	NAD(P)H-nitrite reductase, large subunit	Energy production and conversion	COG1251	C:[Energy production and conversion]	9
O	FKBP-type peptidyl-prolyl cis-trans isomerase	Posttranslational modification, protein turnover, chaperones	COG0545	O:[Posttranslational modification, protein turnover, chaperones]	9
R	Predicted N-acyltransferase, GNAT family	General function prediction only	COG2153	R:[General function prediction only]	9
M	Periplasmic glucan biosynthesis protein OpgG	Cell wall/membrane/envelope biogenesis	COG3131	M:[Cell wall/membrane/envelope biogenesis]	9
J	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	Translation, ribosomal structure and biogenesis	COG0252	J:[Translation, ribosomal structure and biogenesis]	9
M	Outer membrane channel MlaA of the intermembrane phospholipid transporter MlaABCDEF complex	Cell wall/membrane/envelope biogenesis	COG2853	M:[Cell wall/membrane/envelope biogenesis]	9
G	H+/gluconate symporter GntT or related permease, GntP/DsdX family	Carbohydrate transport and metabolism	COG2610	G:[Carbohydrate transport and metabolism]	10
P	Cyanate permease	Inorganic ion transport and metabolism	COG2807	P:[Inorganic ion transport and metabolism]	10
C	FMN-dependent NADH-azoreductase	Energy production and conversion	COG1182	C:[Energy production and conversion]	10
M	Phospholipid-binding membrane integrity protein DolP/YraP/OsmY, contains BON domain	Cell wall/membrane/envelope biogenesis	COG2823	M:[Cell wall/membrane/envelope biogenesis]	10
Q	Taurine dioxygenase, alpha-ketoglutarate-dependent	Secondary metabolites biosynthesis, transport and catabolism	COG2175	Q:[Secondary metabolites biosynthesis, transport and catabolism]	10
J	Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family	Translation, ribosomal structure and biogenesis	COG4575	J:[Translation, ribosomal structure and biogenesis]	10
J	23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family	Translation, ribosomal structure and biogenesis	COG0826	J:[Translation, ribosomal structure and biogenesis]	10
R	Predicted deacylase	General function prediction only	COG3608	R:[General function prediction only]	10
M	N-acetyl-anhydromuramyl-L-alanine amidase AmpD	Cell wall/membrane/envelope biogenesis	COG3023	M:[Cell wall/membrane/envelope biogenesis]	10
M	D-alanyl-lipoteichoic acid acyltransferase DltB, MBOAT superfamily	Cell wall/membrane/envelope biogenesis	COG1696	M:[Cell wall/membrane/envelope biogenesis]	10
E	Predicted branched-chain amino acid permease (azaleucine resistance)	Amino acid transport and metabolism	COG1296	E:[Amino acid transport and metabolism]	10
G	Hydroxypyruvate/dehydroerythronate isomerase, Hyi/OtnI family	Carbohydrate transport and metabolism	COG3622	G:[Carbohydrate transport and metabolism]	10
P	Catalase	Inorganic ion transport and metabolism	COG0753	P:[Inorganic ion transport and metabolism]	10
R	Putative NADPH-quinone reductase (modulator of drug activity B)	General function prediction only	COG2249	R:[General function prediction only]	10
P	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid	Inorganic ion transport and metabolism	COG4773	P:[Inorganic ion transport and metabolism]	10
E	L-serine deaminase	Amino acid transport and metabolism	COG1760	E:[Amino acid transport and metabolism]	10
E	ABC-type proline/glycine betaine transport system, permease component	Amino acid transport and metabolism	COG1174	E:[Amino acid transport and metabolism]	10
P	Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport	Inorganic ion transport and metabolism	COG3712	P:[Inorganic ion transport and metabolism]	10
C	Propionyl CoA:succinate CoA transferase	Energy production and conversion	COG0427	C:[Energy production and conversion]	10
Q	NADPH-dependent curcumin reductase CurA	Secondary metabolites biosynthesis, transport and catabolism	COG2130	Q:[Secondary metabolites biosynthesis, transport and catabolism]	10
L	Methylphosphotriester-DNA--protein-cysteine methyltransferase, contains Zn-binding and AraC-type DNA-binding domains	Replication, recombination and repair	COG2169	L:[Replication, recombination and repair]	10
E	Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family	Amino acid transport and metabolism	COG2423	E:[Amino acid transport and metabolism]	10
X	Transposase InsE and inactivated derivatives	Mobilome: prophages, transposons	COG2963	X:[Mobilome: prophages, transposons]	10
C	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family	Energy production and conversion	COG2055	C:[Energy production and conversion]	10
F	Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family	Nucleotide transport and metabolism	COG2252	F:[Nucleotide transport and metabolism]	10
C	Carbon starvation protein CstA (peptide/pyruvate transporter)	Energy production and conversion	COG1966	C:[Energy production and conversion]	10
Q	ABC-type microcin C transport system, duplicated ATPase component YejF	Secondary metabolites biosynthesis, transport and catabolism	COG4172	Q:[Secondary metabolites biosynthesis, transport and catabolism]	10
G	Acetyl xylan esterase AxeA and related esterases, LpqC family	Carbohydrate transport and metabolism	COG3509	G:[Carbohydrate transport and metabolism]	10
F	Formyltetrahydrofolate hydrolase	Nucleotide transport and metabolism	COG0788	F:[Nucleotide transport and metabolism]	10
Q	2-keto-4-pentenoate hydratase	Secondary metabolites biosynthesis, transport and catabolism	COG3971	Q:[Secondary metabolites biosynthesis, transport and catabolism]	10
C	Polyferredoxin NapH	Energy production and conversion	COG0348	C:[Energy production and conversion]	10
R	ABC-type uncharacterized transport system, permease and ATPase components	General function prediction only	COG4178	R:[General function prediction only]	10
L	ATPase/5'-3' helicase helicase subunit RecD of the DNA repair enzyme RecBCD (exonuclease V)	Replication, recombination and repair	COG0507	L:[Replication, recombination and repair]	10
T	sRNA-binding carbon storage regulator CsrA	Signal transduction mechanisms	COG1551	T:[Signal transduction mechanisms]	10
P	ABC-type sulfate transport system, periplasmic component	Inorganic ion transport and metabolism	COG1613	P:[Inorganic ion transport and metabolism]	10
Q	Aromatic ring-opening dioxygenase, catalytic subunit, LigB family	Secondary metabolites biosynthesis, transport and catabolism	COG3384	Q:[Secondary metabolites biosynthesis, transport and catabolism]	10
R	Predicted Na+-dependent transporter YfeH	General function prediction only	COG0385	R:[General function prediction only]	10
E	D-serine dehydratase, pyridoxal phosphate-dependent	Amino acid transport and metabolism	COG3616	E:[Amino acid transport and metabolism]	10
K	Transmembrane transcriptional regulator RsiW (anti-sigma-W factor)	Transcription	COG5662	K:[Transcription]	10
E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	Amino acid transport and metabolism	COG0722	E:[Amino acid transport and metabolism]	10
O	Peptidyl-prolyl cis-trans isomerase, FKBP type	Posttranslational modification, protein turnover, chaperones	COG1047	O:[Posttranslational modification, protein turnover, chaperones]	10
T	Predicted FMN-binding regulatory protein PaiB	Signal transduction mechanisms	COG2808	T:[Signal transduction mechanisms]	10
G	Altronate dehydratase	Carbohydrate transport and metabolism	COG2721	G:[Carbohydrate transport and metabolism]	10
Q	Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family	Secondary metabolites biosynthesis, transport and catabolism	COG1942	Q:[Secondary metabolites biosynthesis, transport and catabolism]	10
H	Precorrin-2 methylase	Coenzyme transport and metabolism	COG2243	H:[Coenzyme transport and metabolism]	10
I	Acyl-CoA thioesterase	Lipid transport and metabolism	COG1946	I:[Lipid transport and metabolism]	10
E	Spermidine synthase (polyamine aminopropyltransferase)	Amino acid transport and metabolism	COG0421	E:[Amino acid transport and metabolism]	10
V	S-formylglutathione hydrolase FrmB	Defense mechanisms	COG0627	V:[Defense mechanisms]	10
M	Cell wall-associated hydrolase, NlpC_P60 family	Cell wall/membrane/envelope biogenesis	COG0791	M:[Cell wall/membrane/envelope biogenesis]	10
G	N-acetylglucosamine-6-phosphate deacetylase	Carbohydrate transport and metabolism	COG1820	G:[Carbohydrate transport and metabolism]	10
E	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	Amino acid transport and metabolism	COG3185	E:[Amino acid transport and metabolism]	10
D	Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain	Cell cycle control, cell division, chromosome partitioning	COG2340	D:[Cell cycle control, cell division, chromosome partitioning]	10
P	K+ transport ATPase, ATPase subunit KdpB	Inorganic ion transport and metabolism	COG2216	P:[Inorganic ion transport and metabolism]	10
P	K+-transporting ATPase, KdpA subunit	Inorganic ion transport and metabolism	COG2060	P:[Inorganic ion transport and metabolism]	10
O	Disulfide bond formation protein DsbB	Posttranslational modification, protein turnover, chaperones	COG1495	O:[Posttranslational modification, protein turnover, chaperones]	10
P	K+-transporting ATPase, KdpC subunit	Inorganic ion transport and metabolism	COG2156	P:[Inorganic ion transport and metabolism]	10
G	Glucokinase	Carbohydrate transport and metabolism	COG0837	G:[Carbohydrate transport and metabolism]	10
O	Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O)	Posttranslational modification, protein turnover, chaperones	COG0397	O:[Posttranslational modification, protein turnover, chaperones]	10
I	Carboxylesterase type B	Lipid transport and metabolism	COG2272	I:[Lipid transport and metabolism]	10
R	Uncharacterized protein, putative kinase inhibitor, PEBP/RKIP/YbhB/UPF0098 family	General function prediction only	COG1881	R:[General function prediction only]	10
T	Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains	Signal transduction mechanisms	COG3437	T:[Signal transduction mechanisms]	10
O	Gamma-glutamyl:cysteine ligase YbdK, ATP-grasp superfamily	Posttranslational modification, protein turnover, chaperones	COG2170	O:[Posttranslational modification, protein turnover, chaperones]	10
P	Trk-type K+ transport system, membrane component	Inorganic ion transport and metabolism	COG0168	P:[Inorganic ion transport and metabolism]	10
D	Cell division protein ZapE (Z ring-associated ATPase), AFG1 superfamily	Cell cycle control, cell division, chromosome partitioning	COG1485	D:[Cell cycle control, cell division, chromosome partitioning]	10
K	DNA-binding transcriptional regulator YhcF, GntR family	Transcription	COG1725	K:[Transcription]	10
M	Outer membrane protein OmpW	Cell wall/membrane/envelope biogenesis	COG3047	M:[Cell wall/membrane/envelope biogenesis]	10
C	Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases	Energy production and conversion	COG2717	C:[Energy production and conversion]	10
W	Flp/Tad pilus assembly secretin CpaC/RcpA	Extracellular structures	COG4964	W:[Extracellular structures]	10
G	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase	Carbohydrate transport and metabolism	COG2723	G:[Carbohydrate transport and metabolism]	10
G	2-keto-3-deoxy-L-rhamnonate aldolase RhmA	Carbohydrate transport and metabolism	COG3836	G:[Carbohydrate transport and metabolism]	10
P	ABC-type sulfate transport system, permease component	Inorganic ion transport and metabolism	COG4208	P:[Inorganic ion transport and metabolism]	10
P	Gamma-glutamylcyclotransferase ChaC2 (glutathione degradation)	Inorganic ion transport and metabolism	COG3703	P:[Inorganic ion transport and metabolism]	10
P	ABC-type sulfate/molybdate transport systems, ATPase component	Inorganic ion transport and metabolism	COG1118	P:[Inorganic ion transport and metabolism]	10
G	Fructose-1,6-bisphosphatase	Carbohydrate transport and metabolism	COG0158	G:[Carbohydrate transport and metabolism]	10
E	Chorismate mutase	Amino acid transport and metabolism	COG1605	E:[Amino acid transport and metabolism]	10
N	Flagellar capping protein FliD	Cell motility	COG1345	N:[Cell motility]	10
V	Plasmid maintenance system antidote protein VapI/HigA, contains XRE-type HTH domain	Defense mechanisms	COG3093	V:[Defense mechanisms]	10
O	DnaJ domain-containing protein	Posttranslational modification, protein turnover, chaperones	COG1076	O:[Posttranslational modification, protein turnover, chaperones]	10
R	Predicted acetyltransferase, GNAT superfamily	General function prediction only	COG2388	R:[General function prediction only]	10
J	23S rRNA A2030 N6-methylase RlmJ	Translation, ribosomal structure and biogenesis	COG2961	J:[Translation, ribosomal structure and biogenesis]	10
C	Malate synthase	Energy production and conversion	COG2225	C:[Energy production and conversion]	10
L	Alkylated DNA repair dioxygenase AlkB	Replication, recombination and repair	COG3145	L:[Replication, recombination and repair]	10
P	Phosphodiesterase/alkaline phosphatase D	Inorganic ion transport and metabolism	COG3540	P:[Inorganic ion transport and metabolism]	10
G	6-phosphogluconate dehydrogenase (decarboxylating)	Carbohydrate transport and metabolism	COG1023	G:[Carbohydrate transport and metabolism]	10
M	Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)	Cell wall/membrane/envelope biogenesis	COG1732	M:[Cell wall/membrane/envelope biogenesis]	10
K	Alkylated DNA nucleotide flippase Atl1, participates in nucleotide excision repair, Ada-like DNA-binding domain	Transcription	COG3695	K:[Transcription]	10
F	NADH pyrophosphatase NudC, Nudix superfamily	Nucleotide transport and metabolism	COG2816	F:[Nucleotide transport and metabolism]	10
K	FhlA-type transcriptional regulator, contains GAF, AAA-type ATPase, and DNA-binding Fis domains	Transcription	COG3604	K:[Transcription]	10
F	Adenosine/6-amino-6-deoxyfutalosine deaminase	Nucleotide transport and metabolism	COG1816	F:[Nucleotide transport and metabolism]	10
C	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)	Energy production and conversion	COG0280	C:[Energy production and conversion]	10
Q	YciI superfamily enzyme, includes 5-CHQ dehydrochlorinase, contains active-site pHis	Secondary metabolites biosynthesis, transport and catabolism	COG2350	Q:[Secondary metabolites biosynthesis, transport and catabolism]	10
I	Diacylglycerol kinase	Lipid transport and metabolism	COG0818	I:[Lipid transport and metabolism]	10
M	Membrane-bound lytic murein transglycosylase	Cell wall/membrane/envelope biogenesis	COG2821	M:[Cell wall/membrane/envelope biogenesis]	10
G	4-alpha-glucanotransferase	Carbohydrate transport and metabolism	COG1640	G:[Carbohydrate transport and metabolism]	10
J	Elongation factor P--beta-lysine ligase EpmA	Translation, ribosomal structure and biogenesis	COG2269	J:[Translation, ribosomal structure and biogenesis]	10
F	Thymidine phosphorylase	Nucleotide transport and metabolism	COG0213	F:[Nucleotide transport and metabolism]	10
H	Pyrimidine reductase, riboflavin biosynthesis	Coenzyme transport and metabolism	COG1985	H:[Coenzyme transport and metabolism]	10
G	Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein	Carbohydrate transport and metabolism	COG1494	G:[Carbohydrate transport and metabolism]	10
O	Pyruvate-formate lyase-activating enzyme	Posttranslational modification, protein turnover, chaperones	COG1180	O:[Posttranslational modification, protein turnover, chaperones]	10
C	Ni/Fe-hydrogenase 2 integral membrane subunit HybB	Energy production and conversion	COG5557	C:[Energy production and conversion]	10
J	Folate-dependent tRNA-U54 methylase TrmFO/GidA	Translation, ribosomal structure and biogenesis	COG1206	J:[Translation, ribosomal structure and biogenesis]	10
R	Predicted nucleic acid-binding protein DR0291, contains C4-type Zn-ribbon domain	General function prediction only	COG1579	R:[General function prediction only]	10
F	Ribonucleotide monophosphatase NagD, HAD superfamily	Nucleotide transport and metabolism	COG0647	F:[Nucleotide transport and metabolism]	10
R	HEAT repeat	General function prediction only	COG1413	R:[General function prediction only]	10
A	Bifunctional DNase/RNase	RNA processing and modification	COG1259	A:[RNA processing and modification]	10
J	tRNA1(Val) A37 N6-methylase TrmN6	Translation, ribosomal structure and biogenesis	COG4123	J:[Translation, ribosomal structure and biogenesis]	10
F	Deoxyribose-phosphate aldolase	Nucleotide transport and metabolism	COG0274	F:[Nucleotide transport and metabolism]	10
P	Ca2+/Na+ antiporter	Inorganic ion transport and metabolism	COG0530	P:[Inorganic ion transport and metabolism]	10
G	Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family	Carbohydrate transport and metabolism	COG0391	G:[Carbohydrate transport and metabolism]	10
G	Trehalose-6-phosphate phosphatase	Carbohydrate transport and metabolism	COG1877	G:[Carbohydrate transport and metabolism]	10
J	Aspartyl/asparaginyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0017	J:[Translation, ribosomal structure and biogenesis]	10
